15-Jan-2019 00:15 : INSERT INTO AttendanceMaster(EmployeeId, AttendanceDate, AttendanceStatus, TimeIn,ShiftId, OrganizationId, CreatedDate, CreatedById, LastModifiedDate, LastModifiedById, OwnerId, Overtime, EntryImage, checkInLoc, device,TimeinIp,Dept_id,Desg_id) VALUES (12276,'2019-01-14','2','00:00:00',4802,3866,'2019-01-15',0,'2019-01-15',0,0,'00:00:00','','','Absentee Cron','0',14717,19630) | Device: Cron UpdateAttendanceForAbsentee | ORGANIZATION: 3866
15-Jan-2019 00:15 : INSERT INTO AttendanceMaster(EmployeeId, AttendanceDate, AttendanceStatus, TimeIn,ShiftId, OrganizationId, CreatedDate, CreatedById, LastModifiedDate, LastModifiedById, OwnerId, Overtime, EntryImage, checkInLoc, device,TimeinIp,Dept_id,Desg_id) VALUES (12278,'2019-01-14','2','00:00:00',4802,3866,'2019-01-15',0,'2019-01-15',0,0,'00:00:00','','','Absentee Cron','0',14717,19630) | Device: Cron UpdateAttendanceForAbsentee | ORGANIZATION: 3866
15-Jan-2019 00:15 : INSERT INTO AttendanceMaster(EmployeeId, AttendanceDate, AttendanceStatus, TimeIn,ShiftId, OrganizationId, CreatedDate, CreatedById, LastModifiedDate, LastModifiedById, OwnerId, Overtime, EntryImage, checkInLoc, device,TimeinIp,Dept_id,Desg_id) VALUES (12279,'2019-01-14','2','00:00:00',4802,3866,'2019-01-15',0,'2019-01-15',0,0,'00:00:00','','','Absentee Cron','0',14717,19630) | Device: Cron UpdateAttendanceForAbsentee | ORGANIZATION: 3866
15-Jan-2019 00:15 : INSERT INTO AttendanceMaster(EmployeeId, AttendanceDate, AttendanceStatus, TimeIn,ShiftId, OrganizationId, CreatedDate, CreatedById, LastModifiedDate, LastModifiedById, OwnerId, Overtime, EntryImage, checkInLoc, device,TimeinIp,Dept_id,Desg_id) VALUES (12337,'2019-01-14','2','00:00:00',4802,3866,'2019-01-15',0,'2019-01-15',0,0,'00:00:00','','','Absentee Cron','0',14717,19630) | Device: Cron UpdateAttendanceForAbsentee | ORGANIZATION: 3866
15-Jan-2019 00:16 : INSERT INTO AttendanceMaster(EmployeeId, AttendanceDate, AttendanceStatus, TimeIn,ShiftId, OrganizationId, CreatedDate, CreatedById, LastModifiedDate, LastModifiedById, OwnerId, Overtime, EntryImage, checkInLoc, device,TimeinIp,Dept_id,Desg_id) VALUES (12277,'2019-01-14','2','00:00:00',4803,3867,'2019-01-15',0,'2019-01-15',0,0,'00:00:00','','','Absentee Cron','0',14721,19635) | Device: Cron UpdateAttendanceForAbsentee | ORGANIZATION: 3867
15-Jan-2019 00:18 : INSERT INTO AttendanceMaster(EmployeeId, AttendanceDate, AttendanceStatus, TimeIn,ShiftId, OrganizationId, CreatedDate, CreatedById, LastModifiedDate, LastModifiedById, OwnerId, Overtime, EntryImage, checkInLoc, device,TimeinIp,Dept_id,Desg_id) VALUES (15692,'2019-01-14','2','00:00:00',7308,5977,'2019-01-15',0,'2019-01-15',0,0,'00:00:00','','','Absentee Cron','0',23482,30518) | Device: Cron UpdateAttendanceForAbsentee | ORGANIZATION: 5977
15-Jan-2019 00:20 : INSERT INTO AttendanceMaster(EmployeeId, AttendanceDate, AttendanceStatus, TimeIn,ShiftId, OrganizationId, CreatedDate, CreatedById, LastModifiedDate, LastModifiedById, OwnerId, Overtime, EntryImage, checkInLoc, device,TimeinIp,Dept_id,Desg_id) VALUES (12293,'2019-01-14','2','00:00:00',4819,3881,'2019-01-15',0,'2019-01-15',0,0,'00:00:00','','','Absentee Cron','0',14780,19705) | Device: Cron UpdateAttendanceForAbsentee | ORGANIZATION: 3881
15-Jan-2019 00:20 : INSERT INTO AttendanceMaster(EmployeeId, AttendanceDate, AttendanceStatus, TimeIn,ShiftId, OrganizationId, CreatedDate, CreatedById, LastModifiedDate, LastModifiedById, OwnerId, Overtime, EntryImage, checkInLoc, device,TimeinIp,Dept_id,Desg_id) VALUES (15706,'2019-01-14','2','00:00:00',7315,5984,'2019-01-15',0,'2019-01-15',0,0,'00:00:00','','','Absentee Cron','0',23511,30553) | Device: Cron UpdateAttendanceForAbsentee | ORGANIZATION: 5984
15-Jan-2019 00:22 : INSERT INTO AttendanceMaster(EmployeeId, AttendanceDate, AttendanceStatus, TimeIn,ShiftId, OrganizationId, CreatedDate, CreatedById, LastModifiedDate, LastModifiedById, OwnerId, Overtime, EntryImage, checkInLoc, device,TimeinIp,Dept_id,Desg_id) VALUES (12303,'2019-01-14','2','00:00:00',4830,3890,'2019-01-15',0,'2019-01-15',0,0,'00:00:00','','','Absentee Cron','0',14817,19750) | Device: Cron UpdateAttendanceForAbsentee | ORGANIZATION: 3890
15-Jan-2019 00:23 : INSERT INTO AttendanceMaster(EmployeeId, AttendanceDate, AttendanceStatus, TimeIn,ShiftId, OrganizationId, CreatedDate, CreatedById, LastModifiedDate, LastModifiedById, OwnerId, Overtime, EntryImage, checkInLoc, device,TimeinIp,Dept_id,Desg_id) VALUES (15722,'2019-01-14','2','00:00:00',7331,5995,'2019-01-15',0,'2019-01-15',0,0,'00:00:00','','','Absentee Cron','0',23558,30609) | Device: Cron UpdateAttendanceForAbsentee | ORGANIZATION: 5995
